Rating,Price (₹),RAM (GB),ROM (GB),Battery (mAh),Display Size (inches),Type
4.5,39799,8,128,4700.0,6.7,1
4.4,49999,12,512,4500.0,6.7,1
4.4,16999,6,128,6000.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.1,41999,12,512,5200.0,6.78,1
4.5,45950,8,256,4700.0,6.7,1
4.6,37999,12,512,6200.0,6.67,1
4.3,31999,8,256,6200.0,6.67,1
4.1,41999,12,512,5200.0,6.78,1
4.5,46500,8,256,4700.0,6.7,1
4.4,49999,12,512,4500.0,6.7,1
4.4,23999,8,128,5500.0,6.67,1
4.5,41999,16,256,5500.0,6.78,0
4.4,47999,8,256,4575.0,6.2,0
4.4,49999,8,256,5500.0,6.78,1
4.2,49995,16,512,5000.0,6.78,1
4.5,41469,8,128,4700.0,6.7,1
4.5,43999,12,512,5600.0,6.59,1
4.5,41990,8,256,5160.0,6.78,0
4.2,40999,8,128,4500.0,6.43,1
4.2,41999,8,128,5000.0,6.7,1
4.5,45999,8,128,5000.0,6.7,1
4.3,40999,12,512,6000.0,6.77,1
4.4,16999,6,128,6000.0,6.67,1
4.3,23999,8,128,5500.0,6.67,1
4.0,42999,12,512,5500.0,6.78,1
4.3,43999,8,256,5000.0,6.67,1
4.6,43999,12,512,4700.0,6.55,0
4.3,37999,12,512,6200.0,6.67,1
4.6,31999,8,256,6200.0,6.67,1
4.3,44999,8,256,5000.0,6.7,1
4.4,38988,12,256,5000.0,6.6,1
4.6,23999,8,128,5500.0,6.67,1
4.3,49999,12,256,5800.0,6.83,1
4.6,44999,12,512,4700.0,6.55,0
4.3,44999,8,128,4575.0,6.2,0
4.5,43999,6,128,4410.0,6.14,0
4.5,47800,12,256,5000.0,6.7,1
4.6,47999,12,256,5000.0,6.7,1
4.6,40999,12,512,5000.0,6.7,1
4.4,16999,6,128,6000.0,6.67,1
4.1,23999,8,128,5500.0,6.67,1
4.6,49990,8,256,4700.0,6.7,1
4.3,37999,12,512,6200.0,6.67,1
4.4,31999,8,256,6200.0,6.67,1
4.4,44999,8,128,4575.0,6.2,0
4.4,44695,8,128,5000.0,6.7,1
4.3,23999,8,128,5500.0,6.67,1
4.3,45999,12,256,5000.0,6.78,0
4.6,44999,12,128,4926.0,6.7,0
4.1,41990,8,256,5160.0,6.78,0
4.6,41800,8,256,5160.0,6.78,0
4.6,44999,12,128,4926.0,6.7,0
4.4,16999,6,128,6000.0,6.67,1
4.5,23999,8,128,5500.0,6.67,1
4.6,43999,6,128,4410.0,6.14,0
4.3,37999,12,512,6200.0,6.67,1
4.5,31999,8,256,6200.0,6.67,1
4.5,37950,8,256,5500.0,6.78,0
4.4,37999,16,512,5500.0,6.78,0
4.5,23999,8,128,5500.0,6.67,1
4.4,39999,8,128,4700.0,6.7,1
4.5,37999,12,512,6000.0,6.83,1
4.5,36710,8,256,5500.0,6.78,0
4.5,36999,8,256,6000.0,6.77,1
4.3,36999,8,256,6000.0,6.77,1
4.5,39999,8,256,4700.0,6.55,0
4.5,36999,8,256,6000.0,6.77,1
4.5,39999,16,512,5500.0,6.78,0
4.3,37390,8,256,5500.0,6.78,0
4.5,37999,8,128,4404.0,6.1,0
4.4,39999,8,128,4700.0,6.7,1
4.3,39999,8,256,5600.0,6.59,1
4.4,37999,8,128,4404.0,6.1,0
4.4,16999,6,128,6000.0,6.67,1
4.5,23999,8,128,5500.0,6.67,1
4.5,36710,8,256,5500.0,6.78,0
4.5,37390,8,256,5500.0,6.78,0
4.5,33999,8,256,5000.0,6.7,1
4.6,39999,12,512,5000.0,6.78,1
4.3,37999,12,512,6200.0,6.67,1
4.3,31999,8,256,6200.0,6.67,1
4.5,33999,8,256,5000.0,6.7,1
4.4,39999,12,512,5000.0,6.78,1
4.3,23999,8,128,5500.0,6.67,1
4.3,36999,12,256,5000.0,6.7,1
4.4,39999,8,256,4700.0,6.55,0
4.5,36999,8,256,5000.0,6.6,1
4.3,37199,8,128,5500.0,6.78,0
4.5,33999,8,256,5000.0,6.7,1
4.5,39000,8,128,5500.0,6.78,0
4.5,29835,12,256,5500.0,6.78,1
4.1,36999,8,256,5500.0,6.78,1
4.3,32999,12,512,5200.0,6.7,1
4.4,39999,8,256,4700.0,6.55,0
4.5,37999,8,256,4500.0,6.4,0
4.4,32462,8,128,5160.0,6.78,0
4.4,37999,12,512,6000.0,6.83,1
4.4,37999,8,128,5600.0,6.59,1
4.4,37999,8,256,4500.0,6.4,0
4.4,16999,6,128,6000.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.4,35781,8,128,5000.0,6.7,1
4.6,39999,8,256,5600.0,6.59,1
4.3,37999,12,512,6200.0,6.67,1
4.4,31999,8,256,6200.0,6.67,1
4.4,37999,8,128,5600.0,6.59,1
4.4,39999,8,256,5600.0,6.59,1
4.5,37999,12,512,6000.0,6.83,1
4.4,38998,16,256,5000.0,6.7,1
4.4,23999,8,128,5500.0,6.67,1
4.3,37999,8,256,4500.0,6.4,0
4.3,37999,12,256,4600.0,6.7,1
4.5,37999,12,256,4600.0,6.7,1
4.5,39999,8,256,4600.0,6.78,1
4.4,36999,12,256,5000.0,6.7,1
4.3,34750,8,128,5000.0,6.7,1
4.1,37499,8,256,5000.0,6.4,1
4.4,16999,6,128,6000.0,6.67,1
4.0,23999,8,128,5500.0,6.67,1
4.5,39999,12,512,5000.0,6.67,1
4.3,39990,8,256,4600.0,6.78,1
4.3,37999,12,512,6200.0,6.67,1
4.2,31999,8,256,6200.0,6.67,1
4.1,23999,8,128,5500.0,6.67,1
4.5,36999,12,256,4600.0,6.78,1
4.3,33999,12,256,4600.0,6.78,1
4.6,39999,8,256,5600.0,6.59,1
4.3,37999,12,512,6200.0,6.67,1
4.3,32599,12,256,5000.0,6.78,1
4.5,16999,8,128,5000.0,6.67,1
4.2,13999,6,128,6500.0,6.72,1
4.4,6499,4,64,5000.0,6.74,0
4.4,16999,6,128,6000.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.4,18999,12,256,5000.0,6.67,1
4.6,10499,4,128,5000.0,6.56,1
4.3,37999,12,512,6200.0,6.67,1
4.4,31999,8,256,6200.0,6.67,1
4.5,11499,6,128,5000.0,6.56,1
4.5,14999,8,128,6500.0,6.72,1
4.5,16999,8,256,6500.0,6.72,1
4.4,14999,8,128,6500.0,6.72,1
4.4,23999,8,128,5500.0,6.67,1
4.5,10499,4,128,5000.0,6.56,1
4.3,13999,6,128,6500.0,6.72,1
4.4,11999,8,128,5000.0,6.5,1
4.4,11499,6,128,5000.0,6.56,1
4.4,18999,12,256,5000.0,6.67,1
4.3,14334,6,128,6000.0,6.6,1
4.3,9999,4,128,5000.0,6.5,1
4.5,11999,8,128,5000.0,6.5,1
4.4,16999,8,256,6500.0,6.72,1
4.4,16999,6,128,6000.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.4,18499,8,128,5000.0,6.67,1
4.6,16999,8,128,5000.0,6.67,1
4.3,37999,12,512,6200.0,6.67,1
4.2,31999,8,256,6200.0,6.67,1
4.4,14999,12,256,6000.0,6.5,1
4.3,18499,8,128,5000.0,6.67,1
4.4,12999,8,128,6000.0,6.5,1
4.4,20499,8,256,5000.0,6.67,1
4.3,23999,8,128,5500.0,6.67,1
4.2,11999,8,128,5000.0,6.5,1
4.6,9199,4,128,5000.0,6.7,1
4.2,9999,6,128,5160.0,6.88,1
4.6,11499,8,128,5030.0,6.79,1
4.7,22999,8,128,5500.0,6.77,1
4.6,141999,12,512,5000.0,6.9,1
4.3,129999,12,256,5000.0,6.9,1
4.2,7299,4,64,5200.0,6.67,0
4.3,9999,4,128,5000.0,6.72,1
4.0,9999,4,128,5000.0,6.5,1
4.4,16999,6,128,6000.0,6.67,1
4.6,23999,8,128,5500.0,6.67,1
4.2,54999,12,256,4900.0,6.7,1
4.6,9999,4,128,5000.0,6.72,1
4.3,37999,12,512,6200.0,6.67,1
4.2,31999,8,256,6200.0,6.67,1
4.4,9999,6,128,5160.0,6.88,1
4.4,29999,12,256,4500.0,6.7,1
4.6,23999,8,128,5500.0,6.67,1
4.6,16999,8,128,5000.0,6.67,1
4.6,18999,12,256,5000.0,6.67,1
4.5,14999,12,256,6000.0,6.5,1
4.4,12999,6,128,5100.0,6.67,1
4.6,16566,8,128,5500.0,6.67,1
4.3,16999,8,128,5000.0,6.67,1
4.4,12999,8,128,6000.0,6.5,1
4.4,16393,8,128,5500.0,6.67,1
4.4,21990,8,256,5500.0,6.67,1
4.4,16999,6,128,6000.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.6,16999,8,128,5000.0,6.67,1
4.3,37999,12,512,6200.0,6.67,1
4.5,31999,8,256,6200.0,6.67,1
4.5,12999,6,128,5100.0,6.67,1
4.3,20999,8,128,5000.0,6.7,0
4.3,21999,8,256,5000.0,6.67,0
4.4,7999,4,64,5160.0,6.88,1
4.2,23999,8,128,5500.0,6.67,1
4.6,9199,4,128,5000.0,6.7,1
4.2,54999,12,256,4900.0,6.7,1
4.1,14999,12,256,6000.0,6.5,1
4.4,10699,6,128,5000.0,6.7,1
4.6,20999,8,256,4310.0,6.4,0
4.4,15999,8,256,5100.0,6.67,1
4.3,8199,6,128,5000.0,6.74,0
4.2,7699,4,64,5000.0,6.74,0
4.3,9999,6,128,5160.0,6.88,1
